#Network | Station | Location | Channel | Latitude | Longitude | Elevation | Depth | Azimuth | Dip | SensorDescription | Scale | ScaleFreq | ScaleUnits | SampleRate | StartTime | EndTime
OV|CAO2||LCQ|9.688|-85.107002|179.0|0.0|0.0|0.0|Quanterra 330HR Linear Phase Below 100 Composite|1.0|0.0|PERCENT|1.0|2012-01-01T00:00:00.0000|2016-05-19T00:00:00.0000
OV|CAO2||LHE|9.688|-85.107002|179.0|0.0|90.0|0.0|Streckeisen STS-2 G3/Quanterra 330HR Linear Phase|2.50081E9|0.03|M/S|1.0|2012-01-01T00:00:00.0000|2016-05-19T00:00:00.0000
OV|CAO2||LHN|9.688|-85.107002|179.0|0.0|0.0|0.0|Streckeisen STS-2 G3/Quanterra 330HR Linear Phase|2.50081E9|0.03|M/S|1.0|2012-01-01T00:00:00.0000|2016-05-19T00:00:00.0000
OV|CAO2||LHZ|9.688|-85.107002|179.0|0.0|0.0|-90.0|Streckeisen STS-2 G3/Quanterra 330HR Linear Phase|2.50081E9|0.03|M/S|1.0|2012-01-01T00:00:00.0000|2016-05-19T00:00:00.0000
OV|CAO2||VCO|9.688|-85.107002|179.0|0.0|0.0|0.0|Quanterra 330HR Linear Phase Below 100 Composite|6.66667|0.0|V|0.1|2012-01-01T00:00:00.0000|2016-05-19T00:00:00.0000
OV|CAO2||VEA|9.688|-85.107002|179.0|0.0|0.0|0.0|Quanterra 330HR Linear Phase Below 100 Composite|1000.0|0.0|A|0.1|2012-01-01T00:00:00.0000|2016-05-19T00:00:00.0000
OV|CAO2||VEC|9.688|-85.107002|179.0|0.0|0.0|0.0|Quanterra 330HR Linear Phase Below 100 Composite|1000.0|0.0|A|0.1|2012-01-01T00:00:00.0000|2016-05-19T00:00:00.0000
OV|CAO2||VEP|9.688|-85.107002|179.0|0.0|0.0|0.0|Quanterra 330HR Linear Phase Below 100 Composite|6.66667|0.0|V|0.1|2012-01-01T00:00:00.0000|2016-05-19T00:00:00.0000
OV|CAO2||VKI|9.688|-85.107002|179.0|0.0|0.0|0.0|Quanterra 330HR Linear Phase Below 100 Composite|1.0|0.0|CELSIUS|0.1|2012-01-01T00:00:00.0000|2016-05-19T00:00:00.0000
OV|CAO2||VMU|9.688|-85.107002|179.0|0.0|0.0|0.0|Quanterra 330HR Linear Phase Below 100 Composite|10.0|0.0|V|0.1|2012-01-01T00:00:00.0000|2016-05-19T00:00:00.0000
OV|CAO2||VMV|9.688|-85.107002|179.0|0.0|0.0|0.0|Quanterra 330HR Linear Phase Below 100 Composite|10.0|0.0|V|0.1|2012-01-01T00:00:00.0000|2016-05-19T00:00:00.0000
OV|CAO2||VMW|9.688|-85.107002|179.0|0.0|0.0|0.0|Quanterra 330HR Linear Phase Below 100 Composite|10.0|0.0|V|0.1|2012-01-01T00:00:00.0000|2016-05-19T00:00:00.0000
OV|CAO2||VPB|9.688|-85.107002|179.0|0.0|0.0|0.0|Quanterra 330HR Linear Phase Below 100 Composite|10.0|0.0|PERCENT|0.1|2012-01-01T00:00:00.0000|2016-05-19T00:00:00.0000
OV|CAR||HHE|9.864|-85.480499|52.0|0.0|90.0|0.0|trillium_compact_OBS_SIO/Taurus Infinite 40V|2.99113E8|0.4|M/S|100.0|2012-09-08T00:00:00.0000|
OV|CAR||HHN|9.864|-85.480499|52.0|0.0|0.0|0.0|trillium_compact_OBS_SIO/Taurus Infinite 40V|2.99113E8|0.4|M/S|100.0|2012-09-08T00:00:00.0000|
OV|CAR||HHZ|9.864|-85.480499|52.0|0.0|0.0|-90.0|trillium_compact_OBS_SIO/Taurus Infinite 40V|2.99113E8|0.4|M/S|100.0|2012-09-08T00:00:00.0000|
OV|CCOL||BHE|8.4075|-82.973396|89.0|0.0|90.0|0.0|Nanometrics Trillium 240 Sec Response sn 400 and a|1.95491E9|0.1|M/S|20.0|2015-06-08T17:00:00.0000|
OV|CCOL||BHN|8.4075|-82.973396|89.0|0.0|0.0|0.0|Nanometrics Trillium 240 Sec Response sn 400 and a|1.95491E9|0.1|M/S|20.0|2015-06-08T17:00:00.0000|
OV|CCOL||BHZ|8.4075|-82.973396|89.0|0.0|0.0|-90.0|Nanometrics Trillium 240 Sec Response sn 400 and a|1.95491E9|0.1|M/S|20.0|2015-06-08T17:00:00.0000|
OV|CCOL||HHE|8.4075|-82.973396|89.0|0.0|90.0|0.0|Nanometrics Trillium 240 Sec Response sn 400 and a|1.95524E9|0.3|M/S|100.0|2014-10-09T20:31:15.0000|
OV|CCOL||HHN|8.4075|-82.973396|89.0|0.0|0.0|0.0|Nanometrics Trillium 240 Sec Response sn 400 and a|1.95524E9|0.3|M/S|100.0|2014-10-09T20:31:15.0000|
OV|CCOL||HHZ|8.4075|-82.973396|89.0|0.0|0.0|-90.0|Nanometrics Trillium 240 Sec Response sn 400 and a|1.95524E9|0.3|M/S|100.0|2014-10-09T20:31:15.0000|
OV|CCOL||HNE|8.4075|-82.973396|89.0|0.0|90.0|0.0|Episensor 200 Hz 10 Volt per g/Quanterra 330HR Lin|427894.0|0.03|M/S**2|200.0|2015-06-08T17:00:00.0000|
OV|CCOL||HNN|8.4075|-82.973396|89.0|0.0|0.0|0.0|Episensor 200 Hz 10 Volt per g/Quanterra 330HR Lin|427894.0|0.03|M/S**2|200.0|2015-06-08T17:00:00.0000|
OV|CCOL||HNZ|8.4075|-82.973396|89.0|0.0|0.0|-90.0|Episensor 200 Hz 10 Volt per g/Quanterra 330HR Lin|427894.0|0.03|M/S**2|200.0|2015-06-08T17:00:00.0000|
